,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 21, 2026 - COT Leveraged Funds >>> valid for trades from July 27, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
NZD,"100,000","44,100","2,625,184,800","19,232","1,144,842,496","5,952","595,200,000","13,280","1,328,000,000","-7,328",-16.62%,-38.10%,-0.92%,"-732,800,000","-436,221,184",,9.50%,6.20%,5.60%,2.90%,2.20%,-5.80%,-7.30%,
CHF,"125,000","75,681","11,807,749,620","15,605","2,434,692,100","5,962","745,250,000","9,643","1,205,375,000","-3,681",-4.86%,-23.59%,-15.57%,"-460,125,000","-574,309,620",,CHFJPY,CADCHF,AUDUSD,NZDJPY,CADJPY,EURGBP,NZDUSD,
JPY,"12,500,000","313,040","26,373,620,000","80,051","6,744,296,750","36,995","462,437,500,000","43,056","538,200,000,000","-6,061",-1.94%,-7.57%,-3.76%,"-75,762,500,000","-510,639,250",,-8.00%,-10.20%,-11.40%,-15.30%,-18.20%,-19.60%,-20.90%,
SP500 (E-MINI),"265,000","1,917,043","508,016,395,000","632,747","167,677,955,000","145,719","38,615,535,000","487,028","129,062,420,000",-341309,-17.80%,-53.94%,-2.44%,"-90,446,885,000","-90,446,885,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","270,972","100,259,640,000","122,867","45,460,790,000","49,469","18,303,530,000","73,398","27,157,260,000",-23929,-8.83%,-19.48%,-3.57%,"-8,853,730,000","-8,853,730,000",,,,,,,,,
US30 (YM),"200,000","84,378","16,875,600,000","24,265","4,853,000,000","12,153","2,430,600,000","12,112","2,422,400,000",41,0.05%,0.17%,-1.03%,"8,200,000","8,200,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 15, 2025 - COT Leveraged Funds >>> valid for trades from July 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,080","35,177","3,450,160,160","25,131","2,464,848,480","14,235","1,396,168,800","10,896","1,068,679,680","3,339",9.49%,13.29%,7.18%,"327,489,120","327,489,120",,GBPCAD,GBPNZD,GBPAUD,EURCAD,EURNZD,GBPCHF,USDCAD,
EUR,"125,000","820,440","119,805,776,550","174,336","25,457,632,320","106,430","13,303,750,000","67,906","8,488,250,000","38,524",4.70%,22.10%,6.04%,"4,815,500,000","5,625,515,255",,44.70%,43.00%,39.80%,31.40%,29.60%,28.40%,27.00%,
GBP,"62,500","187,275","15,794,071,219","97,505","8,223,206,056","72,514","4,532,125,000","24,991","1,561,937,500","47,523",25.38%,48.74%,12.79%,"2,970,187,500","4,007,911,609",,EURAUD,GBPJPY,GBPUSD,EURCHF,EURJPY,USDCHF,USDJPY,
CAD,"100,000","202,720","14,814,372,160","63,312","4,626,714,336","18,796","1,879,600,000","44,516","4,451,600,000","-25,720",-12.69%,-40.62%,4.18%,"-2,572,000,000","-1,879,566,160",,26.50%,26.30%,17.70%,15.10%,13.00%,10.70%,8.50%,
AUD,"100,000","150,487","9,899,185,347","57,064","3,753,726,984","19,728","1,972,800,000","37,336","3,733,600,000","-17,608",-11.70%,-30.86%,-2.40%,"-1,760,800,000","-1,158,271,848",,AUDCAD,EURUSD,AUDNZD,NZDCAD,CHFJPY,AUDCHF,EURGBP,
NZD,"100,000","41,959","2,520,435,171","18,138","1,089,531,522","5,697","569,700,000","12,441","1,244,100,000","-6,744",-16.07%,-37.18%,9.28%,"-674,400,000","-405,105,336",,4.90%,4.40%,3.20%,1.70%,-2.10%,-11.40%,-13.30%,
CHF,"125,000","74,255","11,649,124,400","15,501","2,431,796,880","7,129","891,125,000","8,372","1,046,500,000","-1,243",-1.67%,-8.02%,-10.53%,"-155,375,000","-195,001,840",,AUDJPY,NZDCHF,CADCHF,NZDJPY,CADJPY,AUDUSD,NZDUSD,
